Quantity,Level,Day_Zero_Occupancy,Premium_to_Submarket_Pct,Asking_vs_Effective_Spread,Asset_Luxury_Score,Competitors_Within_2Miles,Name,LeaseUpTime,Market,Row_Index,Cluster,Archetype,PCA1,PCA2,Submarket,Latitude,Longitude
119,5,0.596,0.43446634588568184,0.21402042711234912,4.3,1,Cole,5,"Austin-Round Rock, TX",184,0,Value-Add / Boutique,0.6560322803590908,2.6944244010160268,South Austin,30.26286,-97.75856
362,3,0.038,0.30561434736962084,0.04154589371980676,3.3,0,Colonial Grand at Ashton Oaks,14,"Austin-Round Rock, TX",185,1,Suburban High-Velocity,-0.25655781734874006,-0.3452177318024224,Round Rock/Georgetown,30.5125,-97.65848
296,3,0.101,0.03395619801096899,0.03076923076923077,3.7,0,Colonial Grand at Double Creek,10,"Austin-Round Rock, TX",188,1,Suburban High-Velocity,-0.7288587502904995,-0.42385239334780744,Far South Austin,30.14503,-97.80346
300,2,0.0,0.04420518326460332,0.07452339688041594,4.3,0,Colonial Grand at Onion Creek,11,"Austin-Round Rock, TX",189,1,Suburban High-Velocity,-0.4781667831617095,-0.570836406949401,Far South Austin,30.13753,-97.80234
336,3,0.589,0.09388225612040171,0.09430255402750491,3.3,0,Colonial Grand at Wells Branch,8,"Austin-Round Rock, TX",193,0,Value-Add / Boutique,-1.2372914206369412,1.0959956516332983,Pflugerville/Wells Branch,30.4421,-97.67057
346,3,0.3,0.09080200506316777,0.07692307692307693,4.3,0,Concord,39,"Austin-Round Rock, TX",197,1,Suburban High-Velocity,-0.3290267737729092,0.03435459599718739,Southeast Austin,30.18042,-97.77082
256,6,0.046,0.4231015160141389,0.0,4.0,0,Corazon,19,"Austin-Round Rock, TX",201,1,Suburban High-Velocity,1.0191343537695414,-0.9028415958996613,East Austin,30.26404,-97.73209
280,3,0.0,0.15004704133916974,0.0,4.3,0,Cordevalle Apartments,15,"Austin-Round Rock, TX",202,1,Suburban High-Velocity,0.20746709309458047,-1.1864931543227295,Round Rock/Georgetown,30.48529,-97.65431
276,4,0.112,0.14242426337295042,0.047692307692307694,3.7,0,Cortland Onion Creek,11,"Austin-Round Rock, TX",203,1,Suburban High-Velocity,-0.4020825266791479,-0.25725316931071135,Far South Austin,30.13879,-97.7999
426,3,0.37,0.054364318904934324,0.16698292220113853,3.3,1,Cortland Southpark Estates II,20,"Austin-Round Rock, TX",205,0,Value-Add / Boutique,-1.0263168314279172,2.6421733593488117,Far South Austin,30.16052,-97.79704
244,3,0.364,0.12852001893447795,0.16666666666666666,3.3,1,Cortland Southpark Terraces,20,"Austin-Round Rock, TX",207,0,Value-Add / Boutique,-0.8743879222120202,2.454715780405622,Far South Austin,30.16221,-97.7962
250,3,0.492,0.0407428292948344,0.0,3.3,0,Creekside at Kenney`s Fort,1,"Austin-Round Rock, TX",212,0,Value-Add / Boutique,-1.0181867480153186,0.10725441651320919,Round Rock/Georgetown,30.5105,-97.63759
300,3,0.023,-0.19152070999125,0.07692307692307693,3.0,0,Creekside on Parmer Lane,25,"Austin-Round Rock, TX",213,0,Value-Add / Boutique,-2.0707623733489524,0.260751187903667,East Austin,30.36965,-97.6202
157,5,0.101,0.6913786164234675,0.032577903682719546,4.3,0,Crescent,11,"Austin-Round Rock, TX",215,1,Suburban High-Velocity,1.7459766905917464,-0.957555869993187,South Austin,30.25555,-97.74583
224,3,0.627,0.34536443653839694,0.0,4.3,0,Crest at Round Rock,12,"Austin-Round Rock, TX",216,1,Suburban High-Velocity,0.5729463357170298,-0.28649764843145936,Round Rock/Georgetown,30.53697,-97.68154
353,4,0.628,0.11907575247405972,0.12447885646217986,4.3,0,Crestview Commons,6,"Austin-Round Rock, TX",217,1,Suburban High-Velocity,-0.4334111607863859,1.0434895971212643,Near North Austin,30.34103,-97.71783
215,4,0.158,0.435230023829329,0.0,4.0,0,District at SoCo,14,"Austin-Round Rock, TX",229,1,Suburban High-Velocity,0.8226933495827515,-0.9061537622717267,South Austin,30.23637,-97.75194
208,5,0.021,0.46813411102415486,0.12143202709240446,4.0,0,E6,12,"Austin-Round Rock, TX",232,1,Suburban High-Velocity,0.5633451728572604,-0.06282251091270258,East Austin,30.25977,-97.716
330,4,0.003,0.6846037541240164,0.07676455435342606,4.3,0,Eastside Station,29,"Austin-Round Rock, TX",237,1,Suburban High-Velocity,1.5463606945188932,-0.691814630383479,East Austin,30.26106,-97.72529
274,6,0.401,0.17372423556173916,0.12507516536380037,4.3,0,Echo,8,"Austin-Round Rock, TX",238,1,Suburban High-Velocity,-0.057577605554023484,0.7368628279241861,Near North Austin,30.31448,-97.73594
326,3,0.104,0.19157948113446754,0.0774436090225564,4.3,0,Edgewater,16,"Austin-Round Rock, TX",240,1,Suburban High-Velocity,0.006029563169360871,-0.35175082125935103,Pflugerville/Wells Branch,30.4323,-97.66903
354,4,0.084,0.2228047002136811,0.0,4.0,0,Edison,12,"Austin-Round Rock, TX",241,1,Suburban High-Velocity,0.28243070745330184,-0.8176332540170965,Riverside,30.2313,-97.71871
251,5,0.039,0.342211185045596,0.07734375,4.3,0,Elan East,11,"Austin-Round Rock, TX",243,1,Suburban High-Velocity,0.6161982551465983,-0.44037894964594426,East Austin,30.28615,-97.71002
255,5,0.185,0.3171557134907201,0.07752877044215627,4.3,0,Elan Parkside I,16,"Austin-Round Rock, TX",244,1,Suburban High-Velocity,0.5040764776619017,-0.18117521043226323,North Central Austin,30.32372,-97.71352
257,4,0.0,0.857812835131491,0.0,4.3,0,Eleven,12,"Austin-Round Rock, TX",245,1,Suburban High-Velocity,2.3237561082945475,-1.4809248687831829,East Austin,30.26979,-97.73225
324,3,0.055,-0.03617324581231069,0.1251896813353566,3.7,0,Enclave Falcon Pointe,17,"Austin-Round Rock, TX",251,0,Value-Add / Boutique,-1.282591281667292,0.34626006435258294,Pflugerville/Wells Branch,30.45466,-97.59184
312,3,0.237,0.01931148877999181,0.0,3.0,0,Estancia Villas,12,"Austin-Round Rock, TX",254,0,Value-Add / Boutique,-1.215659249075865,-0.12417925723116084,Far South Austin,30.12362,-97.80652
316,3,0.0,0.03935936354196835,0.0,3.0,0,Estates at Bee Cave,36,"Austin-Round Rock, TX",256,0,Value-Add / Boutique,-1.0903654676991594,-0.5241927642481591,Southwest Austin,30.32053,-97.95694
370,3,0.262,0.3246251705555354,0.0,4.3,0,Ethos Apartments,14,"Austin-Round Rock, TX",258,1,Suburban High-Velocity,0.6668244290827465,-0.7708729152241256,Southeast Austin,30.1748,-97.77621
235,4,0.038,0.12801535846213832,0.08307926829268293,4.3,0,Farmhouse,12,"Austin-Round Rock, TX",263,1,Suburban High-Velocity,-0.11951858174718649,-0.37530556676192844,Southeast Austin,30.14431,-97.79304
194,4,0.0,0.2938863018587136,0.0,4.0,0,Flora,9,"Austin-Round Rock, TX",269,1,Suburban High-Velocity,0.4538339578978993,-1.113601196364314,Near North Austin,30.31643,-97.71479
288,3,0.37,-0.07829573230187588,0.041951219512195125,2.3,0,Fox Hill,14,"Austin-Round Rock, TX",274,0,Value-Add / Boutique,-2.242714254177699,0.7901949756260882,Southwest Austin,30.23525,-97.91733
223,18,0.121,0.37500195090807087,0.0,4.3,0,Gables Park Tower,10,"Austin-Round Rock, TX",279,2,Urban Luxury High-Rise,2.1906780560052166,-0.001600308969404924,Downtown/University,30.26751,-97.75407
316,4,0.534,0.4210877514202568,0.08327691266079891,4.3,0,Gallery at Domain,4,"Austin-Round Rock, TX",283,1,Suburban High-Velocity,0.6105224708741492,0.3641247121170055,North Central Austin,30.39673,-97.72037
587,4,0.34,0.5843300424681497,0.0,4.3,0,Gallery at Domain Edge and Parkside,11,"Austin-Round Rock, TX",284,1,Suburban High-Velocity,1.5593649367819158,-0.5306727847819591,North Central Austin,30.39673,-97.72037
202,5,0.031,0.44982741217616545,0.0,4.3,0,Gibson Flats,12,"Austin-Round Rock, TX",288,1,Suburban High-Velocity,1.2174358394714186,-1.1917342216559568,South Austin,30.25405,-97.76196
307,3,0.071,0.21364858479250873,0.0,4.3,1,Griffis at Riata,13,"Austin-Round Rock, TX",296,1,Suburban High-Velocity,0.8999115189231057,0.13320319759746477,Northwest Austin,30.43297,-97.73903
328,2,0.67,0.1502486041331701,0.13047711781888996,4.3,0,Griffis Southpark,5,"Austin-Round Rock, TX",301,1,Suburban High-Velocity,-0.5738076250649707,0.9769111763574281,Southeast Austin,30.17105,-97.78197
307,5,0.025,0.15031433124406224,0.07670614777213762,3.7,0,Groves South Lamar,15,"Austin-Round Rock, TX",303,1,Suburban High-Velocity,-0.36671637206042323,-0.06319378919470778,South Austin,30.23886,-97.78782
207,3,0.111,0.13840752661167466,0.03166986564299424,3.3,0,Hays Junction I,11,"Austin-Round Rock, TX",306,0,Value-Add / Boutique,-0.7721055047815257,-0.3408388174601904,San Marcos,30.0186,-97.84431
102,3,0.509,0.20858608546852653,0.022275258552108195,3.3,0,Hays Junction II,9,"Austin-Round Rock, TX",307,0,Value-Add / Boutique,-0.6815962039666226,0.12604360706495826,San Marcos,30.0186,-97.84431
256,3,0.164,0.14344938073824814,0.0,3.7,0,HighLine,7,"Austin-Round Rock, TX",315,1,Suburban High-Velocity,-0.3239908950017733,-0.6617918756537936,Northwest Austin,30.4375,-97.73141
182,3,0.203,0.07284951543565445,0.0,3.3,0,Hunters Crossing Apartments,5,"Austin-Round Rock, TX",324,0,Value-Add / Boutique,-0.8689884343002435,-0.43955566486694875,Southeast Austin,30.10773,-97.3528
228,4,0.25,0.47045015606083984,0.0,4.3,0,IMT at The Domain,4,"Austin-Round Rock, TX",326,1,Suburban High-Velocity,1.1316934849744522,-0.8951018330348894,North Central Austin,30.3986,-97.72207
286,3,0.038,0.11424058048071019,0.041060735671514116,4.3,0,IMT Southpark North,10,"Austin-Round Rock, TX",327,1,Suburban High-Velocity,-0.06697954454667299,-0.7574295349912943,Far South Austin,30.17348,-97.80274
283,3,0.222,0.07849855139349177,0.062111801242236024,4.0,0,IMT Southpark South,17,"Austin-Round Rock, TX",328,1,Suburban High-Velocity,-0.5348655832333324,-0.12674367170152306,Far South Austin,30.17348,-97.80274
139,5,0.598,1.069927708845325,0.12475116124751161,4.3,0,Indie,9,"Austin-Round Rock, TX",331,1,Suburban High-Velocity,2.3209340473027447,0.4356559463213382,East Austin,30.26253,-97.72472
325,3,0.006,0.1327091970109557,0.029850746268656716,4.3,0,Indigo,11,"Austin-Round Rock, TX",332,1,Suburban High-Velocity,0.053214473426021515,-0.8839819886029762,Cedar Park,30.48119,-97.79255
250,3,0.0,0.05035057468542491,0.0,4.0,0,James on South First,16,"Austin-Round Rock, TX",335,1,Suburban High-Velocity,-0.3183280960964684,-1.0256931356200352,Far South Austin,30.17549,-97.79957
279,6,0.0,0.5581229403178622,0.0,4.3,0,Kenzie at the Domain,11,"Austin-Round Rock, TX",338,1,Suburban High-Velocity,1.6567483089672483,-1.162849318208055,North Central Austin,30.39869,-97.72359
412,4,0.645,0.09960588073370481,0.15483870967741936,4.3,0,La Frontera Square,6,"Austin-Round Rock, TX",340,1,Suburban High-Velocity,-0.5939727310949121,1.3801733503610363,Round Rock/Georgetown,30.48407,-97.68559
311,3,0.012,0.06459089211881171,0.045581395348837206,4.3,0,Ladera,9,"Austin-Round Rock, TX",341,1,Suburban High-Velocity,-0.21140564117186852,-0.719013959015023,Far South Austin,30.18187,-97.7769
301,3,0.079,-0.011766477979341392,0.16666666666666666,3.3,0,Lakeline Crossing I,14,"Austin-Round Rock, TX",342,0,Value-Add / Boutique,-1.6975698147186162,0.8819979429883213,Cedar Park,30.47266,-97.81223
348,3,0.048,0.17410984842486624,0.0,4.3,0,Lakeline East,11,"Austin-Round Rock, TX",344,1,Suburban High-Velocity,0.28696372140314247,-1.0673752886885122,Cedar Park,30.47478,-97.80779
442,5,0.0,0.33900779751012283,0.06822916666666666,4.3,0,Lamar Union,27,"Austin-Round Rock, TX",350,1,Suburban High-Velocity,0.7211579261150127,-0.43504534156882246,South Austin,30.25569,-97.76306
240,4,0.108,0.041590080757758253,0.04049586776859504,3.3,0,Landmark Conservancy,8,"Austin-Round Rock, TX",355,0,Value-Add / Boutique,-0.9799026201840323,-0.12269047275570112,Southwest Austin,30.25961,-97.90225
370,3,0.27,0.19368681098433993,0.03520536462699078,3.7,0,Lantower Ambrosio,21,"Austin-Round Rock, TX",360,1,Suburban High-Velocity,-0.3093261826572344,-0.1300550002877115,Pflugerville/Wells Branch,30.43367,-97.66917
375,3,0.0,0.12442341294876129,0.0,4.3,0,Lantower Tech Ridge,16,"Austin-Round Rock, TX",362,1,Suburban High-Velocity,0.16725305353985218,-1.101745255543511,Pflugerville/Wells Branch,30.43,-97.66601
414,3,0.19,0.06800531853026391,0.14555765595463138,3.3,2,Las Brisas Luxury Apartment Homes,19,"Austin-Round Rock, TX",363,0,Value-Add / Boutique,-0.3355817513341498,3.361668154883216,Round Rock/Georgetown,30.5573,-97.67629
337,4,0.059,0.13594925532732363,0.07692307692307693,4.0,0,Latitude at Presidio,22,"Austin-Round Rock, TX",364,1,Suburban High-Velocity,-0.2714656813242092,-0.18487973602173585,Cedar Park,30.52237,-97.77248
222,4,0.049,0.27637433740128,0.12852112676056338,4.3,0,Legends Lakeline,13,"Austin-Round Rock, TX",370,1,Suburban High-Velocity,0.1181559933212228,-0.06059502068429838,Cedar Park,30.47715,-97.79333
338,5,0.096,0.3411149005539776,0.08309779536461277,4.3,0,Lenox Boardwalk,12,"Austin-Round Rock, TX",371,1,Suburban High-Velocity,0.6047643347643901,-0.23123800075681944,Riverside,30.23877,-97.72054
400,3,0.017,0.08618416190728583,0.08333333333333333,4.0,0,Lenox Springs I,12,"Austin-Round Rock, TX",374,1,Suburban High-Velocity,-0.49867426180209135,-0.20431269654274375,Far South Austin,30.15093,-97.79275
304,3,0.059,0.02502553256029835,0.041264266900790166,4.0,0,Lone Oak,12,"Austin-Round Rock, TX",383,1,Suburban High-Velocity,-0.5525315541406183,-0.5289635347560375,Round Rock/Georgetown,30.55904,-97.67327
222,4,0.081,0.10179135092263317,0.01694915254237288,3.3,0,Lotus Village,10,"Austin-Round Rock, TX",386,0,Value-Add / Boutique,-0.7123054856287252,-0.4081922909288776,North Central Austin,30.37643,-97.68557
343,5,0.318,0.2889024536658243,0.06740196078431372,4.3,0,Marq on Burnet,16,"Austin-Round Rock, TX",401,1,Suburban High-Velocity,0.456860705386355,0.0353988566571284,Near North Austin,30.34216,-97.73802
